,District Code,Agency Name,Black,Hispanic,White,Asian or Pacific Islander,American Indian/Alaska Native,Hawaiian Native/Pacific Islander,Two or More Races,Total Enrollment,Total Revenue,Revenue per student
187,73882,COTATI-ROHNERT PARK UNIFIED,134.0,2550.0,2813.0,263.0,40.0,20.0,452.0,6272.0,51213000.0,8165.34
188,69955,COTTONWOOD UNION ELEMENTARY,8.0,155.0,805.0,22.0,41.0,4.0,56.0,1091.0,10087000.0,9245.65
189,64436,COVINA-VALLEY UNIFIED,324.0,8961.0,1141.0,1014.0,36.0,22.0,412.0,11910.0,205351000.0,17241.9
190,67694,CUCAMONGA ELEMENTARY,352.0,1750.0,210.0,160.0,11.0,11.0,22.0,2516.0,36350000.0,14447.54
191,62737,CUDDEBACK UNION ELEMENTARY,0.0,13.0,103.0,0.0,8.0,0.0,9.0,133.0,1270000.0,9548.87
192,64444,CULVER CITY UNIFIED,976.0,2643.0,1831.0,823.0,19.0,20.0,544.0,6856.0,93228000.0,13598.02
193,69419,CUPERTINO UNION,115.0,932.0,2852.0,13898.0,22.0,29.0,750.0,18598.0,86467000.0,4649.26
194,72355,CURTIS CREEK ELEMENTARY,3.0,73.0,349.0,2.0,6.0,0.0,25.0,458.0,4368000.0,9537.12
195,71860,CUTLER-OROSI JOINT UNIFIED,3.0,3910.0,73.0,131.0,3.0,2.0,4.0,4126.0,59044000.0,14310.23
196,62745,CUTTEN ELEMENTARY,6.0,105.0,369.0,34.0,47.0,2.0,59.0,622.0,5449000.0,8760.45
197,75010,CUYAMA JOINT UNIFIED,2.0,182.0,56.0,2.0,1.0,0.0,2.0,245.0,3129000.0,12771.43
198,66480,CYPRESS ELEMENTARY,116.0,1123.0,940.0,1520.0,3.0,25.0,242.0,3969.0,29637000.0,7467.12
199,72678,DAVIS JOINT UNIFIED,238.0,1732.0,4551.0,1502.0,35.0,23.0,501.0,8582.0,72407000.0,8437.08
